Feature,Importance
categorical__Product ID_H33894,0.0004149031222248378
categorical__Product ID_L55617,0.00041267858010842466
categorical__Product ID_L51212,0.00041259180275069173
categorical__Product ID_L50864,0.0004112103136565143
categorical__Product ID_M19013,0.00041067878137435225
categorical__Product ID_L51738,0.0004087890091414776
categorical__Product ID_L50967,0.00040780152379734887
categorical__Product ID_L51791,0.0004075757227020571
categorical__Product ID_L51831,0.0004049885925021521
categorical__Product ID_L48599,0.00040461735848032715
categorical__Product ID_L52241,0.0004040848739279878
categorical__Product ID_L51344,0.0004013824626953245
categorical__Product ID_L57154,0.00040103030455349026
categorical__Product ID_L51299,0.0003998736566808597
categorical__Product ID_L51503,0.00039943999626104563
categorical__Product ID_L53428,0.00039835786198452527
categorical__Product ID_M19597,0.0003954472752632125
categorical__Product ID_L52156,0.0003934813152680536
categorical__Product ID_L51508,0.00039065655253114353
categorical__Product ID_L53853,0.000390226748347093
categorical__Product ID_L50973,0.00039022507909341564
categorical__Product ID_L48341,0.0003887491153335538
categorical__Product ID_M19113,0.000387595593291162
categorical__Product ID_L50199,0.0003820142829980496
categorical__Product ID_L50446,0.00037582572094248024
categorical__Product ID_M18884,0.00037485221872536395
categorical__Product ID_L52399,0.00037298327368681444
categorical__Product ID_L52100,0.0003726542614477071
categorical__Product ID_L51391,0.00037174800434750617
categorical__Product ID_L51759,0.00036689852829747396
categorical__Product ID_L51801,0.00036560692502372963
categorical__Product ID_L51465,0.00035992886513559394
categorical__Product ID_L52020,0.0003599164709616327
categorical__Product ID_L51337,0.00035773514393460786
categorical__Product ID_L56264,0.0003555012208787499
categorical__Product ID_L51586,0.00035466610250920366
categorical__Product ID_L50708,0.00035280695449326947
categorical__Product ID_L51427,0.0003526178586325414
categorical__Product ID_L56839,0.0003499931201831122
categorical__Product ID_L54773,0.00034743730758746887
categorical__Product ID_L51898,0.00034562932256666264
categorical__Product ID_L51276,0.00034557922930123424
categorical__Product ID_L51462,0.0003454057314878762
categorical__Product ID_L51405,0.0003434740879954276
categorical__Product ID_M19269,0.0003415282828234828
categorical__Product ID_L48515,0.0003388730708795472
categorical__Product ID_L51950,0.00033603234978578773
categorical__Product ID_L51919,0.0003349098381663354
categorical__Product ID_L51267,0.0003333423574588571
categorical__Product ID_L51297,0.0003321659967520146
categorical__Product ID_L50536,0.00033007900266565887
categorical__Product ID_L52670,0.00032993261042019796
categorical__Product ID_L54689,0.00032762808559107123
categorical__Product ID_L52914,0.0003255854546151962
categorical__Product ID_L54263,0.0003248529607001628
categorical__Product ID_L51690,0.00032454906482082973
categorical__Product ID_L51903,0.00032330730344668987
categorical__Product ID_L51628,0.00032318249271342365
categorical__Product ID_L51506,0.0003188919574896827
categorical__Product ID_L51580,0.0003174999455789183
categorical__Product ID_L52016,0.0003158627682607558
categorical__Product ID_L51750,0.00030579440538214763
categorical__Product ID_L51429,0.00030379144069220596
categorical__Product ID_L51362,0.000303247404035229
categorical__Product ID_L52011,0.0002982086449000897
categorical__Product ID_L51364,0.00028626297231701777
categorical__Product ID_L51681,0.000285506459558885
categorical__Product ID_L51320,0.0002794566087067938
categorical__Product ID_L52164,0.00027920661554320755
categorical__Product ID_L55372,0.0002705679511086855
categorical__Product ID_L51800,0.0002697263916562042
categorical__Product ID_L51615,0.00026327588934248235
categorical__Product ID_L51948,0.0002613482667034535
categorical__Product ID_L51882,0.000251838474323052
categorical__Product ID_L51597,0.0002493487750064553
categorical__Product ID_L51601,0.0002418412146164596
categorical__Product ID_L51318,0.00023951449558888942
categorical__Product ID_L51642,0.00023486247392357125
categorical__Product ID_H35323,0.00022529854856549408
categorical__Product ID_L48676,0.00021970747174344902
categorical__Product ID_M20254,0.00020445290278560966
categorical__Product ID_L51550,0.00019773454295611578
categorical__Product ID_L51123,0.00018155768828237334
categorical__Product ID_L51434,0.00017351362713300945
categorical__Product ID_L51823,0.0001706414581039997
categorical__Product ID_L51034,0.00015699157315535736
categorical__Product ID_L51909,0.0001480500712736607
categorical__Product ID_L51563,0.00014531443360476314
categorical__Product ID_L51822,0.00014020532241832933
categorical__Product ID_L51371,7.20403981972255e-05
categorical__Product ID_M18537,6.505522222441391e-05
categorical__Product ID_M19080,6.286162169355751e-05
categorical__Product ID_L51294,6.244867659702699e-05
categorical__Product ID_L51250,6.16646647001791e-05
categorical__Product ID_L50822,5.829033110337158e-05
categorical__Product ID_L50746,5.7199374170084645e-05
categorical__Product ID_L50989,5.715302833369955e-05
categorical__Product ID_L51086,5.6634910358962666e-05
categorical__Product ID_L51908,5.562590182849791e-05
categorical__Product ID_L51187,5.482826559105657e-05
categorical__Product ID_M18525,5.163826223270684e-05
categorical__Product ID_L50668,5.132767097195815e-05
categorical__Product ID_L52085,5.087302465821537e-05
categorical__Product ID_L51396,5.048629189445722e-05
categorical__Product ID_L51054,4.945511993380348e-05
categorical__Product ID_M19093,4.9094640101613113e-05
categorical__Product ID_L48793,4.8570087236718985e-05
categorical__Product ID_L51290,4.8538804024515744e-05
categorical__Product ID_L52372,4.850650703732119e-05
categorical__Product ID_M18638,4.822703439034402e-05
categorical__Product ID_L54077,4.741975124587591e-05
categorical__Product ID_L51203,4.7406894980085586e-05
categorical__Product ID_L53262,4.677033333427403e-05
categorical__Product ID_M18872,4.6630802050663886e-05
categorical__Product ID_L50935,4.6607168246642424e-05
categorical__Product ID_L50944,4.6541442696307774e-05
categorical__Product ID_L52042,4.6524058634720035e-05
categorical__Product ID_L51184,4.556778016818313e-05
categorical__Product ID_L51200,4.5510684560681974e-05
categorical__Product ID_L48771,4.5406183719980064e-05
categorical__Product ID_M20111,4.414129413741234e-05
categorical__Product ID_L54261,4.3960857868365076e-05
categorical__Product ID_L52201,4.39117861067106e-05
categorical__Product ID_L50676,4.389585629941341e-05
categorical__Product ID_L50644,4.360393404801344e-05
categorical__Product ID_M19847,4.358363102548232e-05
categorical__Product ID_M18778,4.3454284446814045e-05
categorical__Product ID_L52892,4.340012064741013e-05
categorical__Product ID_L51298,4.338899162587631e-05
categorical__Product ID_L54717,4.336655854588322e-05
categorical__Product ID_H32906,4.331928647304738e-05
categorical__Product ID_L50678,4.286978026865666e-05
categorical__Product ID_L50786,4.2814893285438546e-05
categorical__Product ID_L54671,4.2724007537217486e-05
categorical__Product ID_L50748,4.248978032306958e-05
categorical__Product ID_L51138,4.221983696642934e-05
categorical__Product ID_L52119,4.200462472597494e-05
categorical__Product ID_L55157,4.193068693476305e-05
categorical__Product ID_M18752,4.182449253165806e-05
categorical__Product ID_L53501,4.156271853705276e-05
categorical__Product ID_L49796,4.1524341822671504e-05
categorical__Product ID_L54305,4.1353137812660096e-05
categorical__Product ID_M19238,4.1329726578921855e-05
categorical__Product ID_L52830,4.126409893607086e-05
categorical__Product ID_L49211,4.096234951778127e-05
categorical__Product ID_M18409,4.0684019362374116e-05
categorical__Product ID_L52592,4.05309816071344e-05
categorical__Product ID_L51173,4.041506111385681e-05
categorical__Product ID_L52052,4.0410523758323544e-05
categorical__Product ID_L50031,4.040444983072042e-05
categorical__Product ID_L51618,4.030532389646328e-05
categorical__Product ID_L53682,3.992900251085893e-05
categorical__Product ID_L53797,3.989824450136506e-05
categorical__Product ID_L55616,3.9635734951117844e-05
categorical__Product ID_M18406,3.9589883962367656e-05
categorical__Product ID_M20351,3.957365294539005e-05
categorical__Product ID_L51913,3.943956119223606e-05
categorical__Product ID_M18771,3.9404598071112034e-05
categorical__Product ID_L52527,3.929713807161195e-05
categorical__Product ID_L52035,3.910174835267719e-05
categorical__Product ID_H33529,3.9091923689437745e-05
categorical__Product ID_M18193,3.851222151751277e-05
categorical__Product ID_L53617,3.817967969695513e-05
categorical__Product ID_M17042,3.816280190926662e-05
categorical__Product ID_L55542,3.8097311499568704e-05
categorical__Product ID_L52038,3.801491598555861e-05
categorical__Product ID_M18486,3.7766955160725935e-05
categorical__Product ID_M21554,3.764533879392432e-05
categorical__Product ID_L54250,3.762781479839125e-05
categorical__Product ID_L50624,3.738250749357755e-05
categorical__Product ID_L49816,3.712658562598512e-05
categorical__Product ID_L50197,3.709961080659545e-05
categorical__Product ID_L51742,3.7017676560340596e-05
categorical__Product ID_L54373,3.6751022131094884e-05
categorical__Product ID_H32915,3.577466224725324e-05
categorical__Product ID_L54022,3.5662284510352715e-05
categorical__Product ID_L55635,3.5660368360173704e-05
categorical__Product ID_L55554,3.565029796442661e-05
categorical__Product ID_L55579,3.561658891445158e-05
categorical__Product ID_L49523,3.55228906507444e-05
categorical__Product ID_L56345,3.549971008585353e-05
